"id","partner_id/id","icao","iata","elevation","aerodrome_type"
"aerodrome_04OR","partner_04OR","04OR","","1500","small_airport"
"aerodrome_04PA","partner_04PA","04PA","","50","heliport"
"aerodrome_04PN","partner_04PN","04PN","","320","heliport"
"aerodrome_04SC","partner_04SC","04SC","","994","heliport"
"aerodrome_04SD","partner_04SD","04SD","","2437","heliport"
"aerodrome_04TA","partner_04TA","04TA","","540","closed"
"aerodrome_04TE","partner_04TE","04TE","","49","heliport"
"aerodrome_04TN","partner_04TN","04TN","","1430","small_airport"
"aerodrome_04TS","partner_04TS","04TS","","690","heliport"
"aerodrome_04TX","partner_04TX","04TX","","565","small_airport"
"aerodrome_04UT","partner_04UT","04UT","","6160","small_airport"
"aerodrome_04V","partner_04V","04V","","7826","small_airport"
"aerodrome_04VA","partner_04VA","04VA","","2004","heliport"
"aerodrome_04VG","partner_04VG","04VG","","50","small_airport"
"aerodrome_04VT","partner_04VT","04VT","","2156","small_airport"
"aerodrome_04W","partner_04W","04W","","1021","small_airport"
"aerodrome_04WA","partner_04WA","04WA","","2345","small_airport"
"aerodrome_04WI","partner_04WI","04WI","","760","small_airport"
"aerodrome_04WN","partner_04WN","04WN","","1510","small_airport"
"aerodrome_04WV","partner_04WV","04WV","","1137","heliport"
"aerodrome_04XA","partner_04XA","04XA","","1130","small_airport"
"aerodrome_04XS","partner_04XS","04XS","","625","closed"
"aerodrome_05AK","partner_05AK","05AK","","620","small_airport"
"aerodrome_05AL","partner_05AL","05AL","","365","heliport"
"aerodrome_05AR","partner_05AR","05AR","","1900","small_airport"
"aerodrome_05AZ","partner_05AZ","05AZ","","200","heliport"
"aerodrome_05B","partner_05B","05B","","440","seaplane_base"
"aerodrome_05CA","partner_05CA","05CA","","888","heliport"
"aerodrome_05CL","partner_05CL","05CL","","618","small_airport"
"aerodrome_05CO","partner_05CO","05CO","","4978","small_airport"
"aerodrome_05CT","partner_05CT","05CT","","600","heliport"
"aerodrome_05FA","partner_05FA","05FA","","295","small_airport"
"aerodrome_05FD","partner_05FD","05FD","","6","heliport"
"aerodrome_05FL","partner_05FL","05FL","","36","small_airport"
"aerodrome_05GA","partner_05GA","05GA","","625","small_airport"
"aerodrome_05IA","partner_05IA","05IA","","1155","small_airport"
"aerodrome_05ID","partner_05ID","05ID","","2969","small_airport"
"aerodrome_05II","partner_05II","05II","","795","small_airport"
"aerodrome_05IL","partner_05IL","05IL","","635","small_airport"
"aerodrome_05IN","partner_05IN","05IN","","860","small_airport"
"aerodrome_05IS","partner_05IS","05IS","","605","small_airport"
"aerodrome_05KS","partner_05KS","05KS","","945","small_airport"
"aerodrome_05KY","partner_05KY","05KY","","1070","small_airport"
"aerodrome_05LA","partner_05LA","05LA","","76","small_airport"
"aerodrome_05LL","partner_05LL","05LL","","710","heliport"
"aerodrome_05LS","partner_05LS","05LS","","83","small_airport"
"aerodrome_05M","partner_05M","05M","","911","heliport"
"aerodrome_05MA","partner_05MA","05MA","","80","heliport"
"aerodrome_05MD","partner_05MD","05MD","","20","small_airport"
"aerodrome_05ME","partner_05ME","05ME","","70","small_airport"
"aerodrome_05MN","partner_05MN","05MN","","1446","heliport"
"aerodrome_05MO","partner_05MO","05MO","","272","heliport"
"aerodrome_05MS","partner_05MS","05MS","","359","heliport"
"aerodrome_05MT","partner_05MT","05MT","","4364","small_airport"
"aerodrome_05NC","partner_05NC","05NC","","63","closed"
"aerodrome_05NE","partner_05NE","05NE","","2010","small_airport"
"aerodrome_05NH","partner_05NH","05NH","","200","heliport"
"aerodrome_05NJ","partner_05NJ","05NJ","","7","heliport"
"aerodrome_05NV","partner_05NV","05NV","","5180","small_airport"
"aerodrome_05NY","partner_05NY","05NY","","445","heliport"
"aerodrome_05OI","partner_05OI","05OI","","830","small_airport"
"aerodrome_05OK","partner_05OK","05OK","","1075","closed"
"aerodrome_05OR","partner_05OR","05OR","","3500","small_airport"
"aerodrome_05PA","partner_05PA","05PA","","110","heliport"
"aerodrome_05PN","partner_05PN","05PN","","485","heliport"
"aerodrome_05PS","partner_05PS","05PS","","1210","small_airport"
"aerodrome_05S","partner_05S","05S","","647","small_airport"
"aerodrome_05TA","partner_05TA","05TA","","276","small_airport"
"aerodrome_05TE","partner_05TE","05TE","","950","small_airport"
