"id","name","city","country_id/id"
"partner_Y46","Bedford Municipal Airport","Bedford","base.us"
"partner_Y48","Belmond Municipal Airport","Belmond","base.us"
"partner_Y49","Walker Municipal Airport","Walker","base.us"
"partner_Y58","Sleepy Eye Municipal Airport","Sleepy Eye","base.us"
"partner_Y63","Elbow Lake Municipal - Pride of the Prairie Airport","Elbow Lake","base.us"
"partner_Y71","Elgin Municipal Airport","Elgin","base.us"
"partner_Y73","Stambaugh Airport","Iron River","base.us"
"partner_Y76","Morningstar Field","Des Moines","base.us"
"partner_Y77","Bayfield County Airport","Iron River","base.us"
"partner_Y87","Empire Airport","Empire","base.us"
"partner_Y88","Green Lake Airport","Interlochen","base.us"
"partner_Y91","Home Acres Sky Ranch Airport","Lake City","base.us"
"partner_Y96","Leo E. Goetz County Airport","Onaway","base.us"
"partner_Y98","Grand Marais Airport","Grand Marais","base.us"
"partner_Y99","Trulson Field","Plaza","base.us"
"partner_YAAL","Yarralin Airport","","base.au"
"partner_YABA","Albany Airport","Albany","base.au"
"partner_YABI","Abingdon Downs Airport","","base.au"
"partner_YABS","Albion Downs Airport","","base.au"
"partner_YABU","Amburla Airport","Burt Plain","base.au"
"partner_YACI","Arcadia Airport","","base.au"
"partner_YACS","Acacia Downs Airport","","base.au"
"partner_YADD","Arubiddy Airport","","base.au"
"partner_YADG","Aldinga Airport","Aldinga","base.au"
"partner_YADI","Adaminaby Airport","","base.au"
"partner_YADM","Yandan Mine Airport","","base.au"
"partner_YADO","Andado Airport","Ghan","base.au"
"partner_YADS","Alton Downs Airport","","base.au"
"partner_YADY","Adaminaby Airport","","base.au"
"partner_YAFD","Alfred Hospital Helipad","Melbourne","base.au"
"partner_YAGD","Augustus Downs Airport","","base.au"
"partner_YAHD","Ashburton Downs Airport","","base.au"
"partner_YAJ","Lyall Harbour Seaplane Base","Saturna Island","base.ca"
"partner_YAKG","Arckaringa Airport","","base.au"
"partner_YALA","Marla Airport","","base.au"
"partner_YALC","Alcoota Station Airport","","base.au"
"partner_YALG","Adels Grove Airport","","base.au"
"partner_YALH","Albilbah Airport","","base.au"
"partner_YALM","Allambie Airport","","base.au"
"partner_YALN","Allandy Airport","","base.au"
"partner_YALX","Alexandria Homestead Airport","","base.au"
"partner_YALY","Alderley Airport","","base.au"
"partner_YAMB","RAAF Base Amberley","","base.au"
"partner_YAMC","Aramac Airport","","base.au"
"partner_YAMJ","Ampilatwatja Airport","Ampilatwatja","base.au"
"partner_YAMK","Andamooka Airport","","base.au"
"partner_YAML","Armraynald Airport","","base.au"
"partner_YAMM","Ammaroo Airport","","base.au"
"partner_YAMT","Amata Airport","","base.au"
"partner_YAND","Answer Downs Airport","","base.au"
"partner_YANG","West Angelas Airport","","base.au"
"partner_YANJ","Angatja Airport","","base.au"
"partner_YANK","Anna Creek Airport","","base.au"
"partner_YANL","Anthony Lagoon Airport","","base.au"
"partner_YANN","Anningie Airport","","base.au"
"partner_YANW","Annitowa Airport","","base.au"
"partner_YAOR","Ardmore Airport","","base.au"
"partner_YAPA","Anna Plains Airport","","base.au"
"partner_YAPH","Alpha Airport","Alpha","base.au"
"partner_YAPO","Apollo Bay Airport","","base.au"
"partner_YAQ","Maple Bay Seaplane Base","Maple Bay","base.ca"
"partner_YARA","Ararat Airport","","base.au"
"partner_YARD","Argadargada Airport","","base.au"
"partner_YARG","Argyle Airport","","base.au"
"partner_YARI","Arizona 1 Airport","","base.au"
